engine,tid,instruction,count,sum_duration_us,avg_duration_ns,max_duration_ns,process_bytes
AIC,CACHEMISS,0x140e6900,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6980,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6a00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6a80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6b00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6b80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6c00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6c80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6d00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6d80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6e00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6e80,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6f00,20,0.02,1.0,1.0,0
AIC,CACHEMISS,0x140e6f80,20,0.02,1.0,1.0,0
AIC,CUBE,BAR,2,0.002,1.0,1.0,0
AIV,FLOWCTRL,JUMPC,42854,0.0,0.0,0.0,0
AIC,FLOWCTRL,JUMPCMP,10842,0.0,0.0,0.0,0
AIC,FLOWCTRL,JUMPC,6854,0.0,0.0,0.0,0
AIC,FLOWCTRL,JUMP,4722,0.0,0.0,0.0,0
AIC,FLOWCTRL,NOP,1590,0.0,0.0,0.0,0
AIV,FLOWCTRL,JUMPCMP,1080,0.0,0.0,0.0,0
AIV,FLOWCTRL,NOP,801,0.0,0.0,0.0,0
AIV,FLOWCTRL,JUMP,692,0.0,0.0,0.0,0
AIV,FLOWCTRL,PRELOAD,40,0.0,0.0,0.0,0
AIC,FLOWCTRL,PRELOAD,20,0.0,0.0,0.0,0
AIC,FLOWCTRL,END,20,0.0,0.0,0.0,0
