engine,instruction,src,dst,process_bytes_each,xn_value,event_count,unique_pids,total_bytes,avg_duration_us,max_duration_us
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11619800,2,1,32768,0.549,0.558
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11669800,2,1,32768,0.625,0.703
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116b9800,2,1,32768,0.5355,0.566
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11709800,2,1,32768,0.5625,0.567
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11759800,2,1,32768,0.618,0.692
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117a9800,2,1,32768,0.516,0.541
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11349900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11399900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113e9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11439900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11489900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114d9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11529900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11579900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115c9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11619900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11669900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116b9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11709900,2,1,32768,0.236,0.236
