engine,instruction,src,dst,process_bytes_each,xn_value,event_count,unique_pids,total_bytes,avg_duration_us,max_duration_us
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11739900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11789900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117d9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11331800,2,1,32768,0.448,0.454
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11381800,2,1,32768,0.533,0.535
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113d1800,2,1,32768,0.442,0.449
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11421800,2,1,32768,0.5475,0.553
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11471800,2,1,32768,0.5555,0.6
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114c1800,2,1,32768,0.536,0.541
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11511800,2,1,32768,0.5475,0.554
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11561800,2,1,32768,0.5425,0.587
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115b1800,2,1,32768,0.537,0.541
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11601800,2,1,32768,0.5535,0.586
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11651800,2,1,32768,0.6315,0.707
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116a1800,2,1,32768,0.5585,0.578
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116f1800,2,1,32768,0.634,0.709
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11741800,2,1,32768,0.623,0.698
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11791800,2,1,32768,0.531,0.555
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117e1800,2,1,32768,0.6195,0.693
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11331900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11381900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113d1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11421900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11471900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114c1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11511900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11561900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115b1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11601900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11651900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116a1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116f1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11741900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11791900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117e1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,8192,0x117f1800,2,1,16384,0.5105,0.519
AIC,LOAD_2D,L1,L0B,8192,0x4000,2,2,16384,0.078,0.078
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,8192,0x117f1900,2,1,16384,0.2,0.2
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13bfba00,1,1,16384,0.298,0.298
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c9ba00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d3ba00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13ddba00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13bffa00,1,1,16384,0.295,0.295
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c9fa00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d3fa00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13ddfa00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c03a00,1,1,16384,0.296,0.296
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13ca3a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d43a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13de3a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c07a00,1,1,16384,0.286,0.286
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13ca7a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d47a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13de7a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c4ba00,1,1,16384,0.295,0.295
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13ceba00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d8ba00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e2ba00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c4fa00,1,1,16384,0.282,0.282
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13cefa00,1,1,16384,0.258,0.258
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d8fa00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e2fa00,1,1,16384,0.228,0.228
